acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-card-profiles 1:0.3.51-1
alsa-lib 1.2.6.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
aom 3.3.0-1
apr 1.7.0-3.1
apr-util 1.6.1-9
archlinux-keyring 20220424-1
archlinux-mirrorlist 20200920-1
artix-archlinux-support 2-1
artix-keyring 20220309-1
artix-mirrorlist 20220530-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
autotiling 1.6-2
avahi 0.8+22+gfd482a7-3
base 2-2.11
bash 5.1.016-1
bc 1.07.1-4.1
betterlockscreen 4.0.4-1
binutils 2.38-5
bison 3.8.2-4
bluez-libs 5.64-2
brotli 1.0.9-8
btop 1.2.7-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.79-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
catppuccin-gtk-theme 0.1.4-1
connman 1.41-1
connman-gtk 1.1.1-3
connman-openrc 20210506-1
coreutils 9.1-1
curl 7.83.1-1
dav1d 1.0.0-1
db 5.3.28-5.1
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-openrc 20210418-2
dconf 0.40.0-1.1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
dhcpcd 9.4.1-1
diffutils 3.8-1
discord-canary 0.0.135-1
dkms 3.0.3-1
double-conversion 3.2.0-1
e2fsprogs 1.46.5-3
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2.1
elogind 246.10-7
elogind-openrc 20210704-1
esysusers 251.2-1
etmpfiles 251.2-1
expat 2.4.8-1
fakeroot 1.29-1
feh 3.8-2.1
ffcall 2.4-2
ffmpeg 2:5.0-7
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 101.0-1
flac 1.3.4-2
flameshot 11.0.0-5
flex 2.6.4-3.1
fontconfig 2:2.14.0-1.1
fontforge 20220308-1
freetype2 2.12.1-1
fribidi 1.0.12-1
gawk 5.1.1-1
gc 8.2.0-3
gcc 12.1.0-2
gcc-libs 12.1.0-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gettext 0.21-2
giflib 5.2.1-2.1
git 2.36.1-1
glib-networking 1:2.72.0-1
glib2 2.72.2-1
glibc 2.35-5
glibmm 2.66.4-1
gmp 6.2.1-2
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.2.35-2
gnutls 3.7.6-1
gpgme 1.17.1-1
graphite 1:1.3.14-2
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsm 1.0.19-1.1
gtk-engine-murrine 0.98.2-4.1
gtk-update-icon-cache 1:4.6.5-1
